kemendagri_kode_desa_kelurahan,bps_kode_kabupaten_kota,skor_simpan_pinjam,skor_sinyal,jumlah_alat_teknologi_tepat_guna_perikanan,jumlah_alat_teknologi_tepat_guna_peternakan,kode_kabupaten_kota,skor_kesehatan,cluster
3215.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3215.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3215.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3215.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3215.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3215.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3215.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3215.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3215.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2010,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2011,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2012,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2013,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3216.2014,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2010,3201,1,0.0,0.0,0.0,3201,4.610576923076923,2
3217.2011,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3217.2012,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3218.2010,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
3219.2010,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.10.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.10.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.10.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.10.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.10.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.10.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.10.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.10.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.10.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.11.2010,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.12.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.12.2002,3201,1,0.0,0.0,0.0,3201,4.610576923076923,2
321.12.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.12.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.12.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.12.2007,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.12.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.12.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.13.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.13.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.13.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.13.2004,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.13.2005,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.13.2006,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.13.2008,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.13.2009,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.14.2001,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.14.2002,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
321.14.2003,3201,0,0.0,0.0,0.0,3201,4.610576923076923,0
