id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jarak,jumlah_desa,satuan,tahun
131,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0-1000 M,358,DESA,2021
132,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1001-2000 M,3,DESA,2021
133,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2001-3000 M,0,DESA,2021
134,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3001-4000 M,0,DESA,2021
135,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,>4000 M,0,DESA,2021
136,32,JAWA BARAT,3209,KABUPATEN CIREBON,0-1000 M,408,DESA,2021
137,32,JAWA BARAT,3209,KABUPATEN CIREBON,1001-2000 M,3,DESA,2021
138,32,JAWA BARAT,3209,KABUPATEN CIREBON,2001-3000 M,0,DESA,2021
139,32,JAWA BARAT,3209,KABUPATEN CIREBON,3001-4000 M,0,DESA,2021
140,32,JAWA BARAT,3209,KABUPATEN CIREBON,>4000 M,1,DESA,2021
141,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0-1000 M,323,DESA,2021
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1001-2000 M,4,DESA,2021
143,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2001-3000 M,3,DESA,2021
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3001-4000 M,0,DESA,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,>4000 M,0,DESA,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0-1000 M,267,DESA,2021
147,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1001-2000 M,1,DESA,2021
148,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2001-3000 M,0,DESA,2021
149,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3001-4000 M,0,DESA,2021
150,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,>4000 M,2,DESA,2021
151,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0-1000 M,296,DESA,2021
152,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1001-2000 M,10,DESA,2021
153,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2001-3000 M,3,DESA,2021
154,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3001-4000 M,0,DESA,2021
155,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,>4000 M,0,DESA,2021
156,32,JAWA BARAT,3213,KABUPATEN SUBANG,0-1000 M,231,DESA,2021
157,32,JAWA BARAT,3213,KABUPATEN SUBANG,1001-2000 M,11,DESA,2021
158,32,JAWA BARAT,3213,KABUPATEN SUBANG,2001-3000 M,0,DESA,2021
159,32,JAWA BARAT,3213,KABUPATEN SUBANG,3001-4000 M,2,DESA,2021
160,32,JAWA BARAT,3213,KABUPATEN SUBANG,>4000 M,1,DESA,2021
161,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0-1000 M,163,DESA,2021
162,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1001-2000 M,13,DESA,2021
163,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2001-3000 M,2,DESA,2021
164,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3001-4000 M,1,DESA,2021
165,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,>4000 M,4,DESA,2021
166,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0-1000 M,275,DESA,2021
167,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1001-2000 M,17,DESA,2021
168,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2001-3000 M,3,DESA,2021
169,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3001-4000 M,1,DESA,2021
170,32,JAWA BARAT,3215,KABUPATEN KARAWANG,>4000 M,1,DESA,2021
171,32,JAWA BARAT,3216,KABUPATEN BEKASI,0-1000 M,168,DESA,2021
172,32,JAWA BARAT,3216,KABUPATEN BEKASI,1001-2000 M,8,DESA,2021
173,32,JAWA BARAT,3216,KABUPATEN BEKASI,2001-3000 M,2,DESA,2021
174,32,JAWA BARAT,3216,KABUPATEN BEKASI,3001-4000 M,1,DESA,2021
175,32,JAWA BARAT,3216,KABUPATEN BEKASI,>4000 M,1,DESA,2021
176,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0-1000 M,162,DESA,2021
177,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1001-2000 M,2,DESA,2021
178,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2001-3000 M,0,DESA,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3001-4000 M,0,DESA,2021
180,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,>4000 M,1,DESA,2021
181,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0-1000 M,90,DESA,2021
182,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1001-2000 M,3,DESA,2021
183,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2001-3000 M,0,DESA,2021
184,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3001-4000 M,0,DESA,2021
185,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,>4000 M,0,DESA,2021
186,32,JAWA BARAT,3279,KOTA BANJAR,0-1000 M,16,DESA,2021
187,32,JAWA BARAT,3279,KOTA BANJAR,1001-2000 M,0,DESA,2021
188,32,JAWA BARAT,3279,KOTA BANJAR,2001-3000 M,0,DESA,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,3001-4000 M,0,DESA,2021
190,32,JAWA BARAT,3279,KOTA BANJAR,>4000 M,0,DESA,2021
191,32,JAWA BARAT,3201,KABUPATEN BOGOR,0-1000 M,388,DESA,2022
192,32,JAWA BARAT,3201,KABUPATEN BOGOR,1001-2000 M,17,DESA,2022
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,2001-3000 M,3,DESA,2022
194,32,JAWA BARAT,3201,KABUPATEN BOGOR,3001-4000 M,5,DESA,2022
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,>4000 M,3,DESA,2022
196,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0-1000 M,364,DESA,2022
197,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1001-2000 M,10,DESA,2022
198,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2001-3000 M,5,DESA,2022
199,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3001-4000 M,2,DESA,2022
200,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,>4000 M,0,DESA,2022
201,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0-1000 M,312,DESA,2022
202,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1001-2000 M,20,DESA,2022
203,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2001-3000 M,11,DESA,2022
204,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3001-4000 M,8,DESA,2022
205,32,JAWA BARAT,3203,KABUPATEN CIANJUR,>4000 M,3,DESA,2022
206,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0-1000 M,265,DESA,2022
207,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1001-2000 M,5,DESA,2022
208,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2001-3000 M,0,DESA,2022
209,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3001-4000 M,0,DESA,2022
210,32,JAWA BARAT,3204,KABUPATEN BANDUNG,>4000 M,0,DESA,2022
211,32,JAWA BARAT,3205,KABUPATEN GARUT,0-1000 M,407,DESA,2022
212,32,JAWA BARAT,3205,KABUPATEN GARUT,1001-2000 M,12,DESA,2022
213,32,JAWA BARAT,3205,KABUPATEN GARUT,2001-3000 M,0,DESA,2022
214,32,JAWA BARAT,3205,KABUPATEN GARUT,3001-4000 M,1,DESA,2022
215,32,JAWA BARAT,3205,KABUPATEN GARUT,>4000 M,1,DESA,2022
216,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0-1000 M,326,DESA,2022
217,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1001-2000 M,15,DESA,2022
218,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2001-3000 M,5,DESA,2022
219,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3001-4000 M,4,DESA,2022
220,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,>4000 M,1,DESA,2022
221,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0-1000 M,255,DESA,2022
222,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1001-2000 M,2,DESA,2022
