bps_kode_desa_kelurahan,bps_nama_kabupaten_kota,bps_nama_desa_kelurahan,tahun,jarak_sd_terdekat,keberadaan_bumdesa_keuangan_program_usaha_ekonomi_desa,jumlah_fasilitas_olahraga,status_sinyal_telepon_seluler,jumlah_alat_teknologi_tepat_guna_perikanan,jumlah_alat_teknologi_tepat_guna_peternakan,ketersediaan_tempat_pembuangan_sampah,jumlah_tenaga_kesehatan_lainnya,sinyal_score,bumdes_score,sampah_score,cluster,status_desa
3204110012.0,KABUPATEN BANDUNG,CANGKUANG,2020.0,5.0,TIDAK ADA,20.0,SINYAL KUAT,10.0,10.0,ADA,0,3,0,1,2,Mandiri (Ekonomi)
3204110009.0,KABUPATEN BANDUNG,HAURPUGUR,2020.0,20.0,TIDAK ADA,18.0,SINYAL KUAT,10.0,10.0,ADA,0,3,0,1,2,Mandiri (Ekonomi)
3204110001.0,KABUPATEN BANDUNG,SUKAMANAH,2020.0,100.0,TIDAK ADA,5.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
3204110008.0,KABUPATEN BANDUNG,SUKAMULYA,2020.0,10.0,TIDAK ADA,20.0,SINYAL KUAT,14.0,15.0,TIDAK ADA,5,3,0,0,2,Mandiri (Ekonomi)
3204110002.0,KABUPATEN BANDUNG,TEGAL SUMEDANG,2020.0,800.0,TIDAK ADA,2.0,SINYAL KUAT,2.0,1.0,TIDAK ADA,5,3,0,0,0,Tertinggal
3204110010.0,KABUPATEN BANDUNG,SANGIANG,2020.0,300.0,TIDAK ADA,14.0,SINYAL LEMAH,10.0,2.0,ADA,1,2,0,1,3,Sangat Tertinggal
3204110013.0,KABUPATEN BANDUNG,NANJUNG MEKAR,2020.0,170.0,TIDAK ADA,36.0,SINYAL KUAT,1.0,1.0,ADA,5,3,0,1,1,Maju
3204130007.0,KABUPATEN BANDUNG,CIPARAY,2020.0,300.0,TIDAK ADA,14.0,SINYAL KUAT,5.0,3.0,ADA,2,3,0,1,1,Maju
3204130011.0,KABUPATEN BANDUNG,GUNUNGLEUTIK,2020.0,20.0,TIDAK ADA,13.0,SINYAL KUAT,10.0,3.0,TIDAK ADA,10,3,0,0,2,Mandiri (Ekonomi)
3204130006.0,KABUPATEN BANDUNG,MEKARSARI,2020.0,1000.0,TIDAK ADA,4.0,SINYAL KUAT,0.0,2.0,TIDAK ADA,0,3,0,0,0,Tertinggal
3204130002.0,KABUPATEN BANDUNG,CIKONENG,2020.0,6.0,TIDAK ADA,6.0,SINYAL KUAT,2.0,10.0,ADA,1,3,0,1,1,Maju
3204130012.0,KABUPATEN BANDUNG,CIHEULANG,2020.0,300.0,TIDAK ADA,7.0,SINYAL KUAT,2.0,2.0,ADA,3,3,0,1,1,Maju
3204130004.0,KABUPATEN BANDUNG,PAKUTANDANG,2020.0,50.0,TIDAK ADA,34.0,SINYAL KUAT,6.0,6.0,ADA,6,3,0,1,2,Mandiri (Ekonomi)
3204130008.0,KABUPATEN BANDUNG,SUMBERSARI,2020.0,1000.0,TIDAK ADA,4.0,SINYAL KUAT,0.0,2.0,ADA,7,3,0,1,1,Maju
3204130005.0,KABUPATEN BANDUNG,MANGUNHARJA,2020.0,50.0,TIDAK ADA,8.0,SINYAL KUAT,4.0,4.0,ADA,0,3,0,1,1,Maju
3204130003.0,KABUPATEN BANDUNG,SAGARACIPTA,2020.0,300.0,TIDAK ADA,2.0,SINYAL LEMAH,2.0,5.0,TIDAK ADA,3,2,0,0,3,Sangat Tertinggal
3204130009.0,KABUPATEN BANDUNG,SARIMAHI,2020.0,10.0,TIDAK ADA,34.0,SINYAL KUAT,11.0,0.0,ADA,9,3,0,1,1,Maju
3204130010.0,KABUPATEN BANDUNG,SERANGMEKAR,2020.0,100.0,TIDAK ADA,9.0,SINYAL KUAT,5.0,0.0,ADA,4,3,0,1,1,Maju
3204130001.0,KABUPATEN BANDUNG,BABAKAN,2020.0,100.0,TIDAK ADA,9.0,SINYAL KUAT,171.0,5.0,ADA,4,3,0,1,2,Mandiri (Ekonomi)
3204130014.0,KABUPATEN BANDUNG,BUMIWANGI,2020.0,100.0,TIDAK ADA,54.0,SINYAL KUAT,19.0,1.0,TIDAK ADA,0,3,0,0,2,Mandiri (Ekonomi)
3204130013.0,KABUPATEN BANDUNG,MEKARLAKSANA,2020.0,10.0,TIDAK ADA,29.0,SINYAL KUAT,50.0,2.0,ADA,1,3,0,1,2,Mandiri (Ekonomi)
3204060012.0,KABUPATEN BANDUNG,CIPEUJEUH,2020.0,5.0,TIDAK ADA,13.0,SINYAL KUAT,2.0,1.0,TIDAK ADA,1,3,0,0,0,Tertinggal
3204060001.0,KABUPATEN BANDUNG,CIKITU,2020.0,300.0,TIDAK ADA,3.0,SINYAL KUAT,0.0,0.0,ADA,5,3,0,1,1,Maju
3204060009.0,KABUPATEN BANDUNG,CANANGGELA,2020.0,200.0,TIDAK ADA,1.0,SINYAL KUAT,0.0,1.0,TIDAK ADA,1,3,0,0,0,Tertinggal
3204060007.0,KABUPATEN BANDUNG,MARUYUNG,2020.0,2.0,ADA,16.0,SINYAL KUAT,0.0,3.0,ADA,1,3,1,1,4,Mandiri (Tata Kelola)
3204060003.0,KABUPATEN BANDUNG,SUKARAME,2020.0,10.0,TIDAK ADA,6.0,SINYAL LEMAH,0.0,2.0,TIDAK ADA,0,2,0,0,3,Sangat Tertinggal
3204060005.0,KABUPATEN BANDUNG,NAGRAK,2020.0,300.0,TIDAK ADA,18.0,SINYAL LEMAH,0.0,4.0,ADA,0,2,0,1,3,Sangat Tertinggal
3204060004.0,KABUPATEN BANDUNG,CIKAWAO,2020.0,10.0,TIDAK ADA,10.0,SINYAL KUAT,0.0,0.0,ADA,5,3,0,1,1,Maju
3204060010.0,KABUPATEN BANDUNG,MEKARJAYA,2020.0,10.0,TIDAK ADA,14.0,SINYAL KUAT,2.0,3.0,TIDAK ADA,3,3,0,0,0,Tertinggal
3204060008.0,KABUPATEN BANDUNG,PANGAUBAN,2020.0,5.0,TIDAK ADA,13.0,SINYAL KUAT,0.0,5.0,TIDAK ADA,0,3,0,0,0,Tertinggal
3204060006.0,KABUPATEN BANDUNG,MANDALAHAJI,2020.0,200.0,TIDAK ADA,11.0,SINYAL LEMAH,2.0,2.0,TIDAK ADA,0,2,0,0,3,Sangat Tertinggal
3204060002.0,KABUPATEN BANDUNG,GIRIMULYA,2020.0,100.0,TIDAK ADA,3.0,SINYAL KUAT,4.0,6.0,ADA,0,3,0,1,1,Maju
